timestamp,short_address,terminal_id,stage,period_ms,sequence,accepted_count,rejected_count,application_length,gateway_frame_length,rssi_dbm
2026-07-29T15:42:33.758+08:00,0xB25B,1,4,50,1445,1445,0,32,49,-59
2026-07-29T15:42:33.813+08:00,0xB25B,1,4,50,1446,1446,0,32,49,-59
2026-07-29T15:42:33.859+08:00,0xB25B,1,4,50,1447,1447,0,32,49,-59
2026-07-29T15:42:33.906+08:00,0xB25B,1,4,50,1448,1448,0,32,49,-59
2026-07-29T15:42:33.955+08:00,0xB25B,1,4,50,1449,1449,0,32,49,-60
2026-07-29T15:42:34.015+08:00,0xB25B,1,4,50,1450,1450,0,32,49,-59
2026-07-29T15:42:34.061+08:00,0xB25B,1,4,50,1451,1451,0,32,49,-60
2026-07-29T15:42:34.110+08:00,0xB25B,1,4,50,1452,1452,0,32,49,-60
2026-07-29T15:42:34.161+08:00,0xB25B,1,4,50,1453,1453,0,32,49,-61
2026-07-29T15:42:34.218+08:00,0xB25B,1,4,50,1454,1454,0,32,49,-60
2026-07-29T15:42:34.265+08:00,0xB25B,1,4,50,1455,1455,0,32,49,-61
2026-07-29T15:42:34.314+08:00,0xB25B,1,4,50,1456,1456,0,32,49,-59
2026-07-29T15:42:34.363+08:00,0xB25B,1,4,50,1457,1457,0,32,49,-59
2026-07-29T15:42:34.412+08:00,0xB25B,1,4,50,1458,1458,0,32,49,-59
2026-07-29T15:42:34.468+08:00,0xB25B,1,4,50,1459,1459,0,32,49,-60
2026-07-29T15:42:34.514+08:00,0xB25B,1,4,50,1460,1460,0,32,49,-59
2026-07-29T15:42:34.564+08:00,0xB25B,1,4,50,1461,1461,0,32,49,-60
2026-07-29T15:42:34.613+08:00,0xB25B,1,4,50,1462,1462,0,32,49,-60
2026-07-29T15:42:34.671+08:00,0xB25B,1,4,50,1463,1463,0,32,49,-59
2026-07-29T15:42:34.717+08:00,0xB25B,1,4,50,1464,1464,0,32,49,-59
2026-07-29T15:42:34.764+08:00,0xB25B,1,4,50,1465,1465,0,32,49,-59
2026-07-29T15:42:34.815+08:00,0xB25B,1,4,50,1466,1466,0,32,49,-60
2026-07-29T15:42:34.872+08:00,0xB25B,1,4,50,1467,1467,0,32,49,-59
2026-07-29T15:42:34.918+08:00,0xB25B,1,4,50,1468,1468,0,32,49,-59
2026-07-29T15:42:34.965+08:00,0xB25B,1,4,50,1469,1469,0,32,49,-59
2026-07-29T15:42:35.014+08:00,0xB25B,1,4,50,1470,1470,0,32,49,-60
2026-07-29T15:42:35.066+08:00,0xB25B,1,4,50,1471,1471,0,32,49,-59
2026-07-29T15:42:35.121+08:00,0xB25B,1,4,50,1472,1472,0,32,49,-59
2026-07-29T15:42:35.167+08:00,0xB25B,1,4,50,1473,1473,0,32,49,-59
2026-07-29T15:42:35.259+08:00,0xB25B,1,4,50,1474,1474,0,32,49,-59
2026-07-29T15:42:35.306+08:00,0xB25B,1,4,50,1475,1475,0,32,49,-60
2026-07-29T15:42:35.352+08:00,0xB25B,1,4,50,1476,1476,0,32,49,-60
2026-07-29T15:42:35.400+08:00,0xB25B,1,4,50,1477,1477,0,32,49,-59
2026-07-29T15:42:35.447+08:00,0xB25B,1,4,50,1478,1478,0,32,49,-59
2026-07-29T15:42:35.494+08:00,0xB25B,1,4,50,1479,1479,0,32,49,-59
2026-07-29T15:42:35.541+08:00,0xB25B,1,4,50,1480,1480,0,32,49,-59
2026-07-29T15:42:35.588+08:00,0xB25B,1,4,50,1481,1481,0,32,49,-59
2026-07-29T15:42:35.635+08:00,0xB25B,1,4,50,1482,1482,0,32,49,-59
2026-07-29T15:42:35.682+08:00,0xB25B,1,4,50,1483,1483,0,32,49,-59
2026-07-29T15:42:35.728+08:00,0xB25B,1,4,50,1484,1484,0,32,49,-59
2026-07-29T15:42:35.776+08:00,0xB25B,1,4,50,1485,1485,0,32,49,-59
2026-07-29T15:42:35.823+08:00,0xB25B,1,4,50,1486,1486,0,32,49,-59
2026-07-29T15:42:35.869+08:00,0xB25B,1,4,50,1487,1487,0,32,49,-59
2026-07-29T15:42:35.921+08:00,0xB25B,1,4,50,1488,1488,0,32,49,-59
2026-07-29T15:42:35.979+08:00,0xB25B,1,4,50,1489,1489,0,32,49,-59
2026-07-29T15:42:36.025+08:00,0xB25B,1,4,50,1490,1490,0,32,49,-59
2026-07-29T15:42:36.072+08:00,0xB25B,1,4,50,1491,1491,0,32,49,-60
2026-07-29T15:42:36.126+08:00,0xB25B,1,4,50,1492,1492,0,32,49,-60
2026-07-29T15:42:36.181+08:00,0xB25B,1,4,50,1493,1493,0,32,49,-60
2026-07-29T15:42:36.227+08:00,0xB25B,1,4,50,1494,1494,0,32,49,-60
2026-07-29T15:42:36.273+08:00,0xB25B,1,4,50,1495,1495,0,32,49,-60
2026-07-29T15:42:36.321+08:00,0xB25B,1,4,50,1496,1496,0,32,49,-61
2026-07-29T15:42:36.372+08:00,0xB25B,1,4,50,1497,1497,0,32,49,-60
2026-07-29T15:42:36.430+08:00,0xB25B,1,4,50,1498,1498,0,32,49,-60
2026-07-29T15:42:36.475+08:00,0xB25B,1,4,50,1499,1499,0,32,49,-61
2026-07-29T15:42:36.525+08:00,0xB25B,1,4,50,1500,1500,0,32,49,-61
2026-07-29T15:42:36.577+08:00,0xB25B,1,4,50,1501,1501,0,32,49,-60
2026-07-29T15:42:36.632+08:00,0xB25B,1,4,50,1502,1502,0,32,49,-60
2026-07-29T15:42:36.679+08:00,0xB25B,1,4,50,1503,1503,0,32,49,-60
2026-07-29T15:42:36.729+08:00,0xB25B,1,4,50,1504,1504,0,32,49,-60
2026-07-29T15:42:36.779+08:00,0xB25B,1,4,50,1505,1505,0,32,49,-60
2026-07-29T15:42:36.835+08:00,0xB25B,1,4,50,1506,1506,0,32,49,-60
2026-07-29T15:42:36.882+08:00,0xB25B,1,4,50,1507,1507,0,32,49,-60
2026-07-29T15:42:36.930+08:00,0xB25B,1,4,50,1508,1508,0,32,49,-60
